DATE,WSHOSHO
2007-01-03,778910
2007-01-10,778898
2007-01-17,778887
2007-01-24,778875
2007-01-31,778863
2007-02-07,778876
2007-02-14,778889
2007-02-21,778902
2007-02-28,780793
2007-03-07,780818
2007-03-14,780842
2007-03-21,780866
2007-03-28,780890
2007-04-04,780926
2007-04-11,782816
2007-04-18,782860
2007-04-25,787149
2007-05-02,787210
2007-05-09,790025
2007-05-16,790103
2007-05-23,790182
2007-05-30,790260
2007-06-06,790322
2007-06-13,790380
2007-06-20,790439
2007-06-27,790497
2007-07-04,790553
2007-07-11,790606
2007-07-18,790660
2007-07-25,790714
2007-08-01,790802
2007-08-08,790820
2007-08-15,789601
2007-08-22,789619
2007-08-29,784637
2007-09-05,779640
2007-09-12,779638
2007-09-19,779635
2007-09-26,779633
2007-10-03,779624
2007-10-10,779608
2007-10-17,779591
2007-10-24,779574
2007-10-31,779586
2007-11-07,779613
2007-11-14,779639
2007-11-21,779670
2007-11-28,779693
2007-12-05,779715
2007-12-12,774735
2007-12-19,769755
2007-12-26,754612
2008-01-02,740627
2008-01-09,728203
2008-01-16,728259
2008-01-23,723315
2008-01-30,718371
2008-02-06,713376
2008-02-13,713369
2008-02-20,713362
2008-02-27,713355
2008-03-05,713388
2008-03-12,703436
2008-03-19,660484
2008-03-26,612305
2008-04-02,581240
2008-04-09,560114
2008-04-16,548632
2008-04-23,548661
2008-04-30,548692
2008-05-07,536714
2008-05-14,515656
2008-05-21,502863
2008-05-28,491091
2008-06-04,486937
2008-06-11,482073
2008-06-18,478734
2008-06-25,478796
2008-07-02,478866
2008-07-09,478951
2008-07-16,479036
2008-07-23,479121
2008-07-30,479206
2008-08-06,479330
2008-08-13,479434
2008-08-20,479538
2008-08-27,479642
2008-09-03,479726
2008-09-10,479782
2008-09-17,479839
2008-09-24,486578
2008-10-01,491121
2008-10-08,490684
2008-10-15,490660
2008-10-22,490617
2008-10-29,490089
2008-11-05,489691
2008-11-12,489409
2008-11-19,488926
2008-11-26,488628
2008-12-03,487926
2008-12-10,492058
2008-12-17,493759
2008-12-24,496892
2008-12-31,495629
2009-01-07,494976
2009-01-14,505306
2009-01-21,505470
2009-01-28,510871
2009-02-04,512274
2009-02-11,514396
2009-02-18,573625
2009-02-25,581726
2009-03-04,581759
2009-03-11,588051
2009-03-18,759465
2009-03-25,761295
2009-04-01,782583
2009-04-08,801353
2009-04-15,943181
2009-04-22,967070
2009-04-29,983358
2009-05-06,997895
2009-05-13,1081591
2009-05-20,1091426
2009-05-27,1107447
2009-06-03,1115772
2009-06-10,1142475
2009-06-17,1184397
2009-06-24,1217044
2009-07-01,1223742
2009-07-08,1233781
2009-07-15,1312150
